Date,Time,Home,HG,HxGt,HxGp,Away,AG,AxGt,AxGp,GD,xGDt,xGDp,Final,HxPts,AxPts
9/13/2026,21:00 EDT,SD,0,1.38,1.41,PHI,4,3.81,4.16,-4,-2.43,-2.75,-5,0.27,2.63
9/13/2026,18:30 EDT,VAN,1,3.03,3.05,ATX,2,0.82,0.82,-1,2.21,2.23,-1,2.68,0.22
9/13/2026,17:30 EDT,CHI,1,2.42,2.5,NER,2,1.21,1.21,-1,1.21,1.29,-1,2.2,0.6
9/12/2026,22:30 EDT,LAG,1,2.76,2.76,SEA,1,2.45,2.48,0,0.3,0.28,0,1.57,1.22
9/12/2026,22:30 EDT,SJE,1,1.12,1.12,HOU,0,0.95,1.06,1,0.17,0.06,1,1.48,1.2
9/12/2026,21:30 EDT,COL,1,2.64,2.66,MTL,0,0.87,0.87,1,1.77,1.79,1,2.53,0.34
9/12/2026,21:30 EDT,RSL,0,1.37,1.39,NYC,2,0.43,0.43,-2,0.94,0.95,-2,2.2,0.55
9/12/2026,20:30 EDT,FCD,2,1.1,1.17,POR,1,1.75,1.78,1,-0.66,-0.61,1,0.87,1.9
9/12/2026,20:30 EDT,SKC,3,2.44,2.74,LAFC,1,2.68,2.69,2,-0.24,0.05,2,1.25,1.54
9/12/2026,20:30 EDT,STL,4,2.08,2.08,MIN,2,1.94,1.96,2,0.14,0.12,2,1.46,1.29
9/12/2026,19:30 EDT,CIN,3,2.29,2.35,CLT,3,1.8,1.8,0,0.49,0.55,0,1.68,1.08
9/12/2026,19:30 EDT,CLB,0,2.01,2.09,NYRB,1,1.63,1.66,-1,0.38,0.43,-1,1.6,1.14
9/12/2026,19:30 EDT,ORL,3,2.17,2.17,TOR,0,2.93,2.96,3,-0.76,-0.79,3,0.93,1.87
9/12/2026,19:30 EDT,MIA,2,1.86,1.94,NSH,2,2.4,2.56,0,-0.54,-0.62,0,0.99,1.78
9/12/2026,19:30 EDT,DCU,0,0.39,0.39,ATL,0,3.2,3.3,0,-2.81,-2.91,0,0.04,2.93
9/9/2026,22:30 EDT,SD,2,2.34,2.34,SJE,3,1.6,1.61,-1,0.74,0.74,-1,1.93,0.82
9/9/2026,22:30 EDT,POR,2,1.27,1.29,STL,2,2.46,2.53,0,-1.19,-1.24,0,0.51,2.31
9/9/2026,22:30 EDT,LAFC,2,1.63,1.64,NYRB,0,0.88,0.88,2,0.75,0.76,2,1.98,0.78
9/9/2026,22:30 EDT,VAN,3,2.63,2.66,LAG,0,0.7,0.7,3,1.93,1.96,3,2.62,0.25
9/9/2026,20:30 EDT,ATX,1,1.09,1.09,COL,1,0.7,0.7,0,0.39,0.38,0,1.62,1.04
9/9/2026,20:30 EDT,MIN,1,1.33,1.61,FCD,2,2.4,2.83,-1,-1.07,-1.21,-1,0.68,2.13
9/9/2026,20:30 EDT,CHI,1,1.12,1.12,MIA,1,1.73,1.83,0,-0.61,-0.71,0,0.99,1.75
9/9/2026,20:30 EDT,HOU,2,1.55,1.7,RSL,1,1.73,1.73,1,-0.17,-0.02,1,1.17,1.54
9/9/2026,20:00 EDT,NYC,1,1.68,1.69,NER,2,2.05,2.21,-1,-0.37,-0.53,-1,1.02,1.71
9/9/2026,19:45 EDT,PHI,5,3.69,3.83,CIN,0,0.04,0.04,5,3.65,3.79,5,2.99,0
9/9/2026,19:30 EDT,DCU,2,2.15,2.17,CLB,1,0.98,0.98,1,1.17,1.2,1,2.18,0.62
9/9/2026,19:30 EDT,MTL,1,1.6,1.61,CLT,2,1.98,2,-1,-0.38,-0.39,-1,1.1,1.68
9/9/2026,19:30 EDT,ATL,0,1.02,1.05,ORL,3,2.75,2.87,-3,-1.73,-1.82,-1,0.42,2.46
9/9/2026,19:30 EDT,TOR,2,2.44,2.44,NSH,0,0.92,0.92,2,1.53,1.53,1,2.41,0.42
9/5/2026,22:30 EDT,VAN,1,1.52,1.52,STL,3,1.87,1.88,-2,-0.35,-0.36,-2,1.09,1.66
9/5/2026,22:30 EDT,POR,4,2.56,2.74,MIN,4,2.12,2.15,0,0.44,0.59,1,1.71,1.06
9/5/2026,21:30 EDT,RSL,2,2.87,3,LAFC,2,2.61,2.62,0,0.25,0.38,0,1.44,1.35
9/5/2026,21:30 EDT,LAG,2,1.19,1.19,NER,1,2.72,2.81,1,-1.54,-1.62,1,0.4,2.42
9/5/2026,21:05 EDT,MIA,2,1.78,1.82,ATL,2,3.4,3.53,0,-1.62,-1.72,0,0.43,2.43
9/5/2026,20:30 EDT,ATX,1,1.4,1.41,SJE,1,1.56,1.56,0,-0.16,-0.15,0,1.26,1.47
9/5/2026,20:30 EDT,FCD,4,2.59,2.67,SKC,3,3.35,3.55,1,-0.76,-0.89,1,0.96,1.83
9/5/2026,20:30 EDT,SEA,0,2.3,2.34,NYRB,0,1.13,1.13,0,1.17,1.2,0,2.08,0.73
9/5/2026,19:30 EDT,TOR,4,1.9,1.91,CHI,3,2,2.01,1,-0.1,-0.1,0,1.36,1.39
9/5/2026,19:30 EDT,PHI,2,2.77,3.04,MTL,0,1.52,1.52,2,1.25,1.52,2,2.16,0.63
9/5/2026,19:30 EDT,CLT,0,1.03,1.03,HOU,0,1.27,1.27,0,-0.25,-0.25,0,1.24,1.44
9/5/2026,19:30 EDT,CLB,3,1.82,1.89,COL,0,0.68,0.68,3,1.14,1.21,3,2.25,0.55
9/5/2026,19:30 EDT,ORL,1,2.47,2.56,SD,0,0.38,0.38,1,2.09,2.18,1,2.78,0.13
9/4/2026,19:30 EDT,NYC,0,1.03,1.03,NSH,0,1.29,1.29,0,-0.27,-0.26,0,1.1,1.57
8/30/2026,19:00 EDT,STL,3,1.27,1.28,FCD,3,1.22,1.22,0,0.06,0.06,0,1.36,1.33
8/30/2026,16:30 EDT,CLB,1,0.6,0.6,NER,3,1.42,1.42,-2,-0.82,-0.82,-2,0.77,1.95
8/29/2026,22:30 EDT,SD,3,2.57,2.58,LAG,1,0.9,0.9,2,1.67,1.68,2,2.44,0.42
8/29/2026,22:30 EDT,POR,1,1.97,2.04,ATX,2,1.25,1.4,-1,0.71,0.64,-1,1.91,0.85
8/29/2026,21:30 EDT,COL,1,2.29,2.36,RSL,0,0.13,0.13,1,2.15,2.23,1,2.9,0.06
8/29/2026,20:30 EDT,MIN,3,3.15,3.4,ORL,3,0.99,0.99,0,2.15,2.4,0,2.64,0.26
8/29/2026,20:30 EDT,HOU,0,0.7,0.7,SJE,0,1.15,1.15,0,-0.45,-0.45,0,0.98,1.71
8/29/2026,20:30 EDT,NSH,4,2.15,2.15,CIN,0,1.9,2.03,4,0.25,0.12,4,1.55,1.23
8/29/2026,20:30 EDT,SKC,0,0.5,0.5,VAN,3,3.33,3.35,-3,-2.83,-2.85,-3,0.06,2.9
8/29/2026,19:30 EDT,ATL,0,1.07,1.09,CLT,2,2.17,2.22,-2,-1.1,-1.13,-2,0.63,2.16
8/29/2026,19:30 EDT,TOR,1,0.58,0.58,NYC,1,0.3,0.3,0,0.28,0.28,0,1.55,0.97
8/29/2026,19:30 EDT,NYRB,1,2.96,3.02,PHI,3,2.53,2.65,-2,0.43,0.37,-2,1.69,1.07
8/29/2026,19:30 EDT,MIA,7,3.06,3.08,MTL,1,0.78,0.82,6,2.27,2.26,6,2.67,0.24
8/29/2026,19:30 EDT,DCU,0,1.33,1.45,LAFC,0,1.8,1.83,0,-0.46,-0.38,0,1.03,1.73
8/29/2026,16:30 EDT,SEA,2,1.09,1.09,CHI,2,2.31,2.33,0,-1.22,-1.23,0,0.54,2.27
8/23/2026,19:00 EDT,ATL,2,1.68,1.69,SKC,1,0.62,0.62,1,1.06,1.07,1,2.27,0.51
8/23/2026,16:30 EDT,NER,1,3.1,3.1,NYC,1,1.35,1.39,0,1.75,1.71,0,2.57,0.31
8/22/2026,22:30 EDT,LAFC,1,3.18,3.2,POR,1,0.8,0.8,0,2.37,2.4,0,2.69,0.21
8/22/2026,22:30 EDT,SJE,1,2.16,2.19,MIN,5,2.06,2.14,-4,0.1,0.05,-4,1.46,1.31
8/22/2026,22:30 EDT,SD,3,1.24,1.24,COL,0,0.49,0.49,3,0.75,0.75,3,2.05,0.68
8/22/2026,21:30 EDT,VAN,5,1.55,1.55,FCD,0,1.74,1.82,5,-0.19,-0.27,5,1.18,1.54
8/22/2026,21:00 EDT,ATX,1,1.44,1.45,PHI,1,0.96,0.96,0,0.48,0.49,0,1.74,0.98
8/22/2026,20:30 EDT,NSH,3,0.79,0.79,CLB,2,0.26,0.26,1,0.53,0.53,1,1.81,0.77
8/22/2026,20:30 EDT,STL,2,1.34,1.34,HOU,1,1.59,1.68,1,-0.25,-0.34,1,1.18,1.56
8/22/2026,19:30 EDT,CLT,3,2.07,2.15,DCU,1,1.75,2.17,2,0.32,-0.02,2,1.6,1.15
8/22/2026,19:30 EDT,NYRB,1,0.73,0.73,CHI,1,0.76,0.76,0,-0.03,-0.03,0,1.3,1.31
8/22/2026,19:30 EDT,ORL,2,2.24,2.69,RSL,1,0.4,0.41,1,1.83,2.28,1,2.62,0.25
8/22/2026,19:30 EDT,MIA,1,1.81,1.81,TOR,2,0.77,0.77,-1,1.04,1.04,-1,2.15,0.63
8/22/2026,19:30 EDT,MTL,2,1.77,1.79,LAG,2,1.07,1.13,0,0.7,0.65,0,1.91,0.85
8/22/2026,19:30 EDT,CIN,1,1.94,2.41,SEA,1,1.25,1.3,0,0.69,1.12,0,1.85,0.91
8/19/2026,22:30 EDT,POR,3,1.85,1.85,SD,1,1.74,1.75,2,0.11,0.11,2,1.51,1.26
8/19/2026,22:30 EDT,VAN,0,1.76,1.77,HOU,1,0.83,0.83,-1,0.94,0.94,-1,2.06,0.69
8/19/2026,22:30 EDT,LAG,1,1.76,1.76,SJE,0,2.12,2.14,1,-0.36,-0.37,1,1.17,1.57
8/19/2026,21:30 EDT,COL,0,2.94,2.94,LAFC,0,0.58,0.62,0,2.36,2.32,1,2.82,0.12
8/19/2026,21:30 EDT,RSL,3,1.87,1.87,FCD,4,2.36,2.43,-1,-0.5,-0.56,-1,1.04,1.76
8/19/2026,21:30 EDT,SEA,1,1.59,1.59,ATX,2,1.24,1.25,-1,0.36,0.34,-1,1.5,1.22
8/19/2026,20:30 EDT,MIN,1,2.52,2.66,ATL,2,1.18,1.19,-1,1.33,1.48,-1,2.27,0.53
8/19/2026,20:00 EDT,SKC,1,2.25,2.25,STL,1,0.72,0.72,0,1.54,1.54,0,2.42,0.41
8/19/2026,19:30 EDT,CLB,0,0.42,0.44,MTL,2,1.37,1.37,-2,-0.96,-0.94,-1,0.52,2.23
8/19/2026,19:30 EDT,PHI,2,3.24,3.44,MIA,2,1.56,1.56,0,1.68,1.88,0,2.41,0.45
8/19/2026,19:30 EDT,CIN,2,1.51,1.51,NYC,1,2.15,2.16,1,-0.63,-0.65,1,0.95,1.85
