"Date","Time","Home","HG","HxGt","HxGp","Away","AG","AxGt","AxGp","GD","xGDt","xGDp","Final","HxPts","AxPts"
"2026-05-17","20:00 EDT","UTA","1","2.02","2.03","LOU","1","0.73","0.73","0","1.29","1.30","1","2.25","0.56"
"2026-05-17","18:00 EDT","POR","0","1.24","1.24","LA","0","1.23","1.23","0","0.01","0.01","0","1.38","1.30"
"2026-05-16","20:45 EDT","DEN","3","3.03","3.05","ORL","1","0.77","0.77","2","2.26","2.28","2","2.72","0.19"
"2026-05-16","18:30 EDT","NC","4","2.14","2.14","CHI","0","0.80","0.80","4","1.33","1.33","4","2.31","0.51"
"2026-05-15","22:00 EDT","SEA","0","0.47","0.47","NJY","2","1.10","1.15","-2","-0.63","-0.69","-2","0.75","1.93"
"2026-05-15","22:00 EDT","BAY","1","1.75","1.78","BOS","1","1.46","1.46","0","0.29","0.32","0","1.55","1.18"
"2026-05-15","22:00 EDT","SD","2","0.70","0.70","WAS","1","0.86","0.86","1","-0.16","-0.16","1","1.20","1.44"
"2026-05-15","20:00 EDT","KC","2","1.88","1.89","HOU","0","0.32","0.32","2","1.56","1.56","3","2.58","0.26"
"2026-05-12","19:00 EDT","BOS","2","1.93","1.93","ORL","1","1.49","1.49","1","0.44","0.44","1","1.65","1.07"
"2026-05-10","19:00 EDT","SEA","0","0.79","0.80","WAS","1","0.51","0.51","-1","0.28","0.29","-1","1.55","1.07"
"2026-05-10","16:00 EDT","BAY","0","0.34","0.34","UTA","0","1.08","1.08","0","-0.74","-0.74","0","0.64","2.00"
"2026-05-10","12:25 EDT","KC","3","3.28","3.52","CHI","0","0.58","0.58","3","2.70","2.94","3","2.81","0.12"
"2026-05-09","21:36 EDT","HOU","1","0.90","0.90","DEN","4","1.88","1.88","-3","-0.98","-0.98","-3","0.53","2.21"
"2026-05-09","20:45 EDT","LA","1","1.42","1.43","SD","2","1.48","1.48","-1","-0.06","-0.05","-1","1.38","1.31"
"2026-05-09","18:30 EDT","NJY","1","2.06","2.42","BOS","1","0.52","0.52","0","1.54","1.90","0","2.56","0.30"
"2026-05-08","20:00 EDT","ORL","1","0.76","0.76","NC","0","0.85","0.85","1","-0.09","-0.09","1","1.24","1.42"
"2026-05-08","18:30 EDT","LOU","3","1.72","1.82","POR","1","1.29","1.30","2","0.42","0.52","2","1.63","1.09"
"2026-05-06","22:00 EDT","UTA","2","2.45","2.46","HOU","0","0.79","0.83","2","1.66","1.63","2","2.44","0.40"
"2026-05-03","19:00 EDT","SD","0","2.02","2.02","BAY","1","1.30","1.31","-1","0.72","0.71","-1","2.04","0.76"
"2026-05-03","17:00 EDT","NJY","1","1.65","1.67","LOU","0","0.81","0.81","1","0.84","0.87","1","2.03","0.72"
