"Date","Time","Home","HG","HxGt","HxGp","Away","AG","AxGt","AxGp","GD","xGDt","xGDp","Final","HxPts","AxPts"
"2026-05-03","19:00 EDT","SD","0","2.01","2.01","BAY","1","1.07","1.07","-1","0.93","0.93","-1","2.05","0.71"
"2026-05-03","17:00 EDT","NJY","1","1.59","1.61","LOU","0","0.71","0.71","1","0.88","0.90","1","2.06","0.68"
"2026-05-03","15:00 EDT","BOS","3","2.42","2.52","DEN","2","0.79","0.79","1","1.62","1.73","1","2.41","0.43"
"2026-05-03","13:00 EDT","CHI","0","0.94","0.94","POR","2","1.61","1.66","-2","-0.67","-0.72","-2","0.87","1.87"
"2026-05-02","20:45 EDT","LA","0","0.73","0.75","UTA","1","0.42","0.42","-1","0.31","0.34","-1","1.55","1.01"
"2026-05-02","18:30 EDT","NC","1","1.98","2.44","KC","2","1.51","1.84","-1","0.46","0.61","-1","1.67","1.10"
"2026-05-02","16:00 EDT","ORL","2","2.05","2.07","WAS","4","1.44","1.44","-2","0.61","0.63","-2","1.80","0.94"
"2026-05-01","20:00 EDT","HOU","0","1.22","1.22","SEA","0","1.11","1.11","0","0.11","0.11","0","1.42","1.30"
"2026-04-29","22:00 EDT","POR","2","0.23","0.23","SD","0","1.24","1.24","2","-1.01","-1.01","2","0.46","2.24"
"2026-04-29","20:00 EDT","CHI","0","0.97","0.97","NJY","2","1.98","1.99","-2","-1.01","-1.02","-2","0.65","2.14"
"2026-04-29","19:00 EDT","WAS","1","1.54","1.54","LOU","0","0.40","0.41","1","1.14","1.13","1","2.35","0.41"
"2026-04-29","19:00 EDT","BOS","2","0.63","0.63","NC","2","2.00","2.11","0","-1.36","-1.48","0","0.41","2.40"
"2026-04-26","20:00 EDT","SEA","0","1.00","1.00","UTA","3","1.58","1.58","-3","-0.57","-0.58","-3","0.94","1.79"
"2026-04-26","18:00 EDT","LA","1","1.14","1.14","POR","2","1.14","1.14","-1","-0.00","-0.00","-1","1.38","1.32"
"2026-04-25","20:45 EDT","DEN","2","1.15","1.17","SD","2","0.72","0.72","0","0.42","0.45","-1","1.71","0.96"
"2026-04-25","20:00 EDT","HOU","0","1.57","1.57","NC","1","1.41","1.42","-1","0.15","0.16","-1","1.41","1.33"
"2026-04-25","18:30 EDT","CHI","2","0.64","0.64","BOS","0","3.29","3.42","2","-2.64","-2.78","2","0.14","2.78"
"2026-04-25","13:00 EDT","NJY","2","2.98","3.04","BAY","0","0.30","0.30","2","2.68","2.74","3","2.88","0.08"
"2026-04-24","20:00 EDT","WAS","4","2.07","2.14","KC","0","1.29","1.29","4","0.78","0.85","4","1.98","0.80"
"2026-04-24","17:30 EDT","LOU","3","1.11","1.12","ORL","2","2.48","2.56","1","-1.36","-1.44","1","0.56","2.26"
"2026-04-05","17:00 EDT","BAY","0","0.33","0.33","WAS","1","2.57","2.59","-1","-2.23","-2.26","-2","0.16","2.74"
"2026-04-04","20:45 EDT","SEA","0","1.45","1.47","DEN","0","1.19","1.19","0","0.26","0.28","0","1.62","1.12"
"2026-04-04","18:30 EDT","NC","2","1.26","1.26","POR","2","1.26","1.33","0","0.00","-0.07","0","1.32","1.41"
"2026-04-04","16:00 EDT","KC","2","1.88","1.88","NJY","1","1.04","1.05","1","0.84","0.83","1","2.00","0.76"
"2026-04-03","21:00 EDT","UTA","1","2.60","2.60","CHI","0","0.32","0.32","1","2.28","2.28","1","2.82","0.12"
"2026-04-03","20:30 EDT","HOU","4","3.35","3.45","LOU","3","2.76","2.76","1","0.59","0.69","1","1.84","0.92"
"2026-04-03","20:00 EDT","ORL","2","2.35","2.38","LA","1","0.85","0.86","1","1.50","1.52","1","2.43","0.40"
"2026-04-03","19:00 EDT","BOS","0","0.37","0.37","SD","1","0.44","0.44","-1","-0.07","-0.07","-1","1.22","1.28"
"2026-03-29","19:00 EDT","NJY","0","0.89","0.89","ORL","0","0.76","0.76","0","0.12","0.12","0","1.41","1.24"
"2026-03-28","20:45 EDT","SD","2","1.99","2.03","CHI","0","0.10","0.10","2","1.89","1.94","2","2.70","0.16"
"2026-03-28","19:00 EDT","NC","1","1.52","1.52","BAY","3","1.01","1.14","-2","0.51","0.37","-2","1.77","0.95"
"2026-03-28","18:30 EDT","SEA","2","0.63","0.63","LOU","1","1.75","1.78","1","-1.12","-1.15","1","0.57","2.19"
"2026-03-28","16:00 EDT","POR","2","2.54","2.58","KC","0","0.62","0.62","2","1.92","1.96","2","2.68","0.21"
"2026-03-28","14:00 EDT","DEN","0","0.82","0.82","WAS","0","0.68","0.68","0","0.13","0.13","0","1.38","1.25"
"2026-03-28","12:00 EDT","BOS","1","1.03","1.03","UTA","2","1.35","1.36","-1","-0.33","-0.34","-1","1.01","1.66"
"2026-03-27","22:00 EDT","LA","2","1.38","1.48","HOU","1","1.80","1.91","1","-0.42","-0.43","1","1.01","1.72"
"2026-03-25","22:00 EDT","SD","3","2.91","3.29","POR","1","1.28","1.35","2","1.63","1.94","2","2.28","0.55"
