"Date","Time","Home","HG","HxGt","HxGp","Away","AG","AxGt","AxGp","GD","xGDt","xGDp","Final","HxPts","AxPts"
"2026-04-11","22:30 EDT","AVA","2","1.06","1.06","ACB","2","1.09","1.12","0","-0.04","-0.06","0","1.32","1.37"
"2026-04-11","21:00 EDT","SPK","3","1.51","1.51","RIC","1","0.51","0.53","2","1.00","0.99","2","2.28","0.48"
"2026-04-11","19:00 EDT","FCN","2","1.55","1.55","SAR","0","0.86","0.87","2","0.69","0.68","2","1.96","0.76"
"2026-04-11","19:00 EDT","CHA","0","0.62","0.64","FW","1","0.65","0.70","-1","-0.03","-0.06","-1","1.22","1.37"
"2026-04-11","18:00 EDT","POR","0","0.94","0.97","KNX","0","1.32","1.33","0","-0.39","-0.36","0","1.03","1.68"
"2026-04-11","17:00 EDT","OMA","1","1.70","1.71","MAD","0","0.76","0.76","1","0.94","0.95","1","2.21","0.51"
"2026-04-08","19:00 EDT","WES","2","2.09","2.21","SAR","0","0.60","0.60","2","1.49","1.61","2","2.52","0.32"
"2026-04-07","21:00 EDT","SPK","3","2.11","2.13","AVA","1","1.06","1.07","2","1.05","1.06","2","2.16","0.65"
"2026-04-04","22:30 EDT","AVA","1","2.36","2.65","OMA","3","1.57","1.57","-2","0.79","1.07","-2","1.89","0.89"
"2026-04-04","21:00 EDT","ACB","1","2.50","2.73","SPK","1","0.58","0.58","0","1.91","2.15","0","2.62","0.26"
"2026-04-04","19:30 EDT","SAR","1","1.91","2.16","KNX","2","1.54","1.54","-1","0.37","0.62","-1","1.66","1.11"
"2026-04-04","19:00 EDT","FCN","1","1.07","1.07","GVL","0","0.64","0.64","1","0.43","0.43","1","1.71","0.95"
"2026-04-04","19:00 EDT","WES","5","2.77","2.79","CRP","1","0.77","0.78","4","2.00","2.00","4","2.63","0.26"
"2026-04-03","19:00 EDT","NYC","3","3.62","3.62","CLT","2","1.11","1.11","1","2.51","2.52","1","2.76","0.17"
"2026-03-29","19:00 EDT","GVL","4","2.34","2.36","WES","2","1.62","1.62","2","0.72","0.74","2","1.88","0.91"
"2026-03-28","22:30 EDT","AVA","2","1.34","1.35","CHA","2","1.96","1.96","0","-0.63","-0.62","0","0.93","1.83"
"2026-03-28","19:30 EDT","SAR","1","1.73","1.74","POR","0","0.65","0.65","1","1.08","1.09","1","2.19","0.60"
"2026-03-28","19:12 EDT","FCN","0","1.24","1.24","MAD","1","1.16","1.16","-1","0.08","0.08","-1","1.45","1.25"
"2026-03-28","17:00 EDT","OMA","2","2.95","2.98","CRP","1","1.88","2.07","1","1.08","0.91","1","1.99","0.81"
"2026-03-28","14:00 EDT","NYC","2","1.17","1.17","FW","0","1.95","1.96","2","-0.78","-0.79","2","0.82","1.93"
"2026-03-27","19:30 EDT","CLT","3","3.66","3.66","SPK","0","1.47","1.51","3","2.18","2.16","4","2.59","0.29"
"2026-03-27","19:00 EDT","KNX","1","2.21","2.22","RIC","0","0.58","0.58","1","1.63","1.64","1","2.47","0.35"
"2026-03-25","19:00 EDT","GVL","2","2.06","2.06","NYC","2","1.19","1.28","0","0.87","0.78","1","2.04","0.75"
"2026-03-24","19:00 EDT","KNX","0","1.30","1.30","CRP","0","0.16","0.16","0","1.14","1.14","0","2.33","0.39"
"2026-03-22","17:00 EDT","OMA","2","1.63","1.63","ACB","2","1.63","1.63","0","0.00","0.00","1","1.37","1.36"
"2026-03-21","22:30 EDT","AVA","0","1.25","1.28","POR","0","0.74","0.74","0","0.51","0.54","0","1.78","0.91"
"2026-03-21","18:00 EDT","RIC","0","1.09","1.09","FCN","1","0.18","0.18","-1","0.91","0.91","-1","2.20","0.49"
"2026-03-21","15:00 EDT","SPK","3","1.83","1.83","NYC","1","2.64","3.11","2","-0.81","-1.28","2","0.85","1.93"
"2026-03-15","18:00 EDT","SPK","0","0.63","0.64","OMA","0","1.00","1.00","0","-0.37","-0.37","1","0.97","1.68"
"2026-03-14","19:30 EDT","SAR","2","1.86","1.87","FW","2","0.75","0.75","0","1.11","1.12","0","2.14","0.63"
"2026-03-14","19:00 EDT","FCN","2","1.49","1.51","CRP","2","1.09","1.09","0","0.41","0.42","0","1.76","0.98"
"2026-03-14","19:00 EDT","GVL","1","1.84","1.90","CHA","2","0.56","0.56","-1","1.28","1.34","-1","2.38","0.44"
"2026-03-14","19:00 EDT","WES","1","0.81","0.81","CLT","1","2.37","2.46","0","-1.56","-1.65","0","0.41","2.42"
"2026-03-14","19:00 EDT","KNX","1","1.33","1.34","MAD","2","1.35","1.35","-1","-0.01","-0.01","-1","1.35","1.37"
"2026-03-14","14:00 EDT","NYC","1","1.03","1.03","POR","3","1.24","1.24","-2","-0.21","-0.21","-2","1.19","1.51"
"2026-03-07","22:30 EST","AVA","1","1.93","1.94","RIC","1","0.95","0.95","0","0.98","0.99","0","2.14","0.62"
"2026-03-07","21:10 EST","SAR","0","0.82","0.82","ACB","1","1.14","1.14","-1","-0.32","-0.32","-1","1.00","1.70"
"2026-03-07","19:00 EST","WES","2","1.63","1.63","KNX","3","1.40","1.40","-1","0.22","0.23","-1","1.54","1.16"
"2026-03-07","19:00 EST","FCN","2","1.15","1.15","FW","0","1.58","1.59","2","-0.43","-0.44","2","1.05","1.67"
"2025-10-25","19:00 EDT","OMA","2","1.71","1.71","SPK","2","0.95","0.96","0","0.75","0.75","0","2.06","0.67"
"2025-10-25","19:00 EDT","KNX","1","0.93","0.93","GVL","0","0.69","0.69","1","0.25","0.25","1","1.53","1.13"
"2025-10-25","19:00 EDT","TRM","3","1.87","1.87","TXO","0","1.04","1.06","3","0.83","0.81","3","1.93","0.82"
"2025-10-25","19:00 EDT","CHA","2","2.33","2.42","WES","1","0.74","0.74","1","1.59","1.68","1","2.38","0.42"
"2025-10-25","19:00 EDT","FCN","2","1.94","1.95","CLT","0","0.81","0.82","2","1.13","1.13","2","2.34","0.47"
"2025-10-25","18:00 EDT","RIC","5","2.82","2.84","MAD","1","2.06","2.07","4","0.76","0.77","4","1.85","0.93"
"2025-10-25","17:00 EDT","POR","2","2.37","2.55","AVA","2","0.87","0.90","0","1.50","1.66","0","2.33","0.52"
"2025-10-21","18:30 EDT","POR","6","2.50","2.58","SPK","1","0.97","0.97","5","1.52","1.61","5","2.45","0.41"
"2025-10-19","17:00 EDT","KNX","2","3.00","3.00","TXO","1","2.39","2.45","1","0.61","0.55","1","1.77","0.99"
"2025-10-18","19:00 EDT","OMA","4","1.98","1.98","MAD","0","0.38","0.38","4","1.60","1.60","4","2.54","0.31"
"2025-10-18","19:00 EDT","FCN","0","1.94","1.95","SPK","1","0.95","0.95","-1","0.99","1.00","-1","2.13","0.64"
"2025-10-18","19:00 EDT","GVL","1","0.40","0.40","TRM","4","1.24","1.24","-3","-0.84","-0.84","-3","0.60","2.09"
"2025-10-18","17:00 EDT","POR","2","2.54","2.54","WES","2","1.57","1.57","0","0.97","0.97","0","2.12","0.65"
