"Date","Time","Home","HG","HxGt","HxGp","Away","AG","AxGt","AxGp","GD","xGDt","xGDp","Final","HxPts","AxPts"
"2026-05-03","19:00 EDT","MB","1","1.47","1.59","TUL","2","1.60","1.60","-1","-0.14","-0.02","-1","1.18","1.51"
"2026-05-02","22:30 EDT","LV","1","0.57","0.61","LEX","1","1.99","2.00","0","-1.42","-1.39","1","0.44","2.40"
"2026-05-02","22:00 EDT","SAC","3","2.67","2.72","OC","2","2.10","2.10","1","0.57","0.61","1","1.72","1.04"
"2026-05-02","20:30 EDT","SA","3","2.05","2.10","COS","2","0.72","0.72","1","1.32","1.38","0","2.33","0.47"
"2026-05-02","19:30 EDT","RI","1","1.83","1.84","BHM","3","1.86","1.86","-2","-0.03","-0.02","-2","1.38","1.39"
"2026-05-02","19:30 EDT","TBR","1","1.72","1.73","IND","0","0.92","1.05","1","0.80","0.69","1","2.02","0.74"
"2026-05-02","19:00 EDT","MIA","2","2.79","2.81","BKN","2","0.98","0.98","0","1.81","1.83","1","2.52","0.35"
"2026-05-02","19:00 EDT","PIT","0","1.53","1.54","PHX","1","1.15","1.19","-1","0.38","0.34","-1","1.62","1.11"
"2026-05-02","19:00 EDT","CHS","4","1.24","1.24","JAX","0","0.16","0.16","4","1.07","1.08","4","2.28","0.43"
"2026-05-02","18:00 EDT","DET","1","1.66","1.71","LOU","1","1.91","2.15","0","-0.25","-0.45","1","1.23","1.55"
"2026-05-02","17:00 EDT","LDN","2","2.50","2.52","OAK","2","1.81","1.82","0","0.69","0.71","0","1.89","0.90"
"2026-04-29","21:00 EDT","ELP","1","1.78","1.81","TUL","4","2.51","2.53","-3","-0.73","-0.73","-3","0.85","1.92"
"2026-04-22","22:00 EDT","OAK","4","2.87","2.87","LV","2","1.05","1.05","2","1.82","1.82","2","2.68","0.21"
"2026-04-22","19:30 EDT","RI","4","2.57","2.57","CHS","0","1.03","1.07","4","1.54","1.50","4","2.44","0.40"
"2026-04-21","19:00 EDT","BKN","1","1.15","1.15","SAC","1","1.51","1.56","0","-0.36","-0.41","0","0.99","1.70"
"2026-04-19","17:00 EDT","BHM","2","2.37","2.38","IND","2","0.42","0.42","0","1.95","1.96","0","2.71","0.19"
"2026-04-18","22:00 EDT","OC","0","1.10","1.10","LEX","0","0.40","0.40","0","0.70","0.70","0","2.04","0.64"
"2026-04-18","22:00 EDT","OAK","1","1.81","1.81","TUL","1","2.73","2.76","0","-0.92","-0.95","0","0.87","1.91"
"2026-04-18","21:00 EDT","ELP","2","2.93","2.99","SA","3","1.12","1.12","-1","1.81","1.87","-1","2.49","0.38"
"2026-04-18","19:00 EDT","MIA","0","3.02","3.08","PHX","3","2.54","2.75","-3","0.48","0.34","-3","1.64","1.12"
"2026-04-18","19:00 EDT","HFD","0","1.32","1.33","LDN","0","0.59","0.59","0","0.74","0.75","0","2.01","0.72"
"2026-04-18","19:00 EDT","PIT","2","1.14","1.14","DET","1","1.16","1.16","1","-0.03","-0.03","1","1.35","1.34"
"2026-04-18","17:00 EDT","LOU","1","2.85","2.88","JAX","0","0.13","0.13","1","2.72","2.76","1","2.88","0.07"
"2026-04-18","17:00 EDT","COS","4","3.39","3.43","MB","1","0.41","0.41","3","2.98","3.02","3","2.86","0.09"
"2026-04-18","15:00 EDT","CHS","1","0.87","0.88","TBR","1","1.19","1.22","0","-0.32","-0.34","0","1.11","1.60"
"2026-04-12","17:00 EDT","BHM","1","1.14","1.14","PIT","0","1.12","1.12","1","0.02","0.02","1","1.37","1.33"
"2026-04-11","22:30 EDT","LV","1","0.93","0.93","SAC","1","1.28","1.48","0","-0.35","-0.55","0","1.07","1.59"
"2026-04-11","22:00 EDT","PHX","3","2.18","2.18","NM","0","0.81","0.81","3","1.37","1.37","3","2.43","0.40"
"2026-04-11","20:30 EDT","SA","0","2.17","2.18","MIA","0","1.13","1.13","0","1.04","1.05","0","2.08","0.69"
"2026-04-11","20:00 EDT","TUL","0","0.79","0.79","OC","1","0.81","0.88","-1","-0.02","-0.10","-1","1.27","1.36"
"2026-04-11","19:30 EDT","TBR","2","1.87","1.88","OAK","1","0.82","0.82","1","1.05","1.06","0","2.17","0.60"
"2026-04-11","19:00 EDT","IND","3","2.99","3.12","MB","1","0.86","0.88","2","2.13","2.24","2","2.67","0.23"
"2026-04-11","19:00 EDT","BKN","3","1.24","1.24","CHS","0","1.32","1.32","3","-0.08","-0.08","3","1.30","1.41"
"2026-04-11","19:00 EDT","LEX","1","1.60","1.60","RI","3","1.00","1.00","-2","0.60","0.60","-2","1.84","0.91"
"2026-04-11","19:00 EDT","HFD","0","0.80","0.83","ELP","4","2.12","2.14","-4","-1.32","-1.31","-4","0.42","2.37"
"2026-04-11","16:00 EDT","DET","1","2.60","2.69","JAX","0","0.61","0.66","1","1.99","2.03","1","2.61","0.26"
"2026-04-10","18:30 EDT","LDN","3","2.09","2.10","LOU","3","1.87","1.88","0","0.22","0.22","0","1.51","1.26"
