Date,Time,Home,HG,HxGt,HxGp,Away,AG,AxGt,AxGp,GD,xGDt,xGDp,Final,HxPts,AxPts
2019-05-07,,FC Baltimore Christos,1,,,West Chester United SC,1,,,,,,,,
2019-05-07,,Lakeland Tropics FC,1,,,The Villages SC,1,,,,,,,,
2019-05-07,,NYRB (USL),4,,,FC Motown,4,,,,,,,,
2019-05-07,,RIC (USL1),6,,,Virginia United FC,2,,,,,,,,
2019-05-07,,Milwaukee Bavarians,0,,,MAD (USL1),2,,,,,,,,
2019-05-07,,Orange County FC,2,,,FC Golden State Force,0,,,,,,,,
2019-05-07,,Academica SC,1,,,El Farolito,2,,,,,,,,
2019-05-07,,Cal FC,5,,,FC Mulhouse Portland,1,,,,,,,,
2019-05-07,,TRM (USL1),23,,,CHA (USL1),0,,,,,,,,
2019-05-07,,Laredo Heat,1,,,Brazos Valley Cavalry FC,0,,,,,,,,
2019-05-08,,Little Rock Rangers SC,2,,,NTX Rayados,2,,,,,,,,
2019-05-08,,Des Moines Menace,1,,,Duluth FC,1,,,,,,,,
2019-05-08,,Erie Admirals SC,1,,,Dayton,2,,,,,,,,
2019-05-08,,MIA (USL),1,,,Florida Soccer Soldiers,2,,,,,,,,
2019-05-08,,Reading United AC,2,,,Junior Lone Star FC,1,,,,,,,,
2019-05-08,,GVL (USL1),1,,,TRM (USL1),0,,,,,,,,
2019-05-08,,New York Cosmos B,2,,,Black Rock FC,1,,,,,,,,
2019-05-08,,Midland/Odessa Sockers,1,,,FC Denver,2,,,,,,,,
2019-05-08,,LAN (USL1),2,,,AFC Ann Arbor,1,,,,,,,,
2019-05-14,,CLTI (USL1),2,,,Florida Soccer Soldiers,2,,,,,,,,
2019-05-14,,TBR (USL),4,,,The Villages SC,1,,,,,,,,
2019-05-14,,PIT (USL),3,,,Dayton,0,,,,,,,,
2019-05-14,,HFD (USL),2,,,New York Cosmos B,1,,,,,,,,
2019-05-14,,NSH (USL),3,,,Tormenta FC 2,2,,,,,,,,
2019-05-14,,SA (USL),2,,,Laredo Heat,0,,,,,,,,
2019-05-14,,LV (USL),2,,,Cal FC,0,,,,,,,,
2019-05-14,,OKC (USL),3,,,NTX Rayados,1,,,,,,,,
2019-05-14,,ATX (USL),2,,,Tulsa,0,,,,,,,,
2019-05-15,,Des Moines Menace,1,,,STL (USL),1,,,,,,,,
2019-05-15,,OC (USL),2,,,Orange County FC,2,,,,,,,,
2019-05-15,,PHX (USL),2,,,NM (USL),2,,,,,,,,
2019-05-15,,El Farolito,0,,,FRS (USL),1,,,,,,,,
2019-05-15,,NC (USL1),4,,,RIC (USL1),1,,,,,,,,
2019-05-15,,GVL (USL1),1,,,CHS (USL),2,,,,,,,,
2019-05-15,,IND (USL),1,,,LAN (USL1),0,,,,,,,,
2019-05-15,,LOU (USL),3,,,Reading United AC,0,,,,,,,,
2019-05-15,,COS (USL),1,,,FC Denver,0,,,,,,,,
2019-05-15,,MEM (USL),3,,,NYRB (USL),1,,,,,,,,
2019-05-15,,BHM (USL),4,,,West Chester United SC,1,,,,,,,,
2019-05-15,,SAC (USL),1,,,RNO (USL),0,,,,,,,,
2019-05-15,,ELP (USL),0,,,MAD (USL1),3,,,,,,,,
2019-05-28,,OKC (USL),4,,,TBR (USL),3,,,,,,,,
2019-05-29,,COS (USL),1,,,NM (USL),2,,,,,,,,
2019-05-29,,SAC (USL),1,,,FRS (USL),0,,,,,,,,
2019-05-29,,NSH (USL),1,,,CHS (USL),1,,,,,,,,
2019-05-29,,NC (USL1),1,,,Florida Soccer Soldiers,0,,,,,,,,
2019-05-29,,LOU (USL),1,,,BHM (USL),0,,,,,,,,
2019-05-29,,PIT (USL),1,,,IND (USL),0,,,,,,,,
2019-05-29,,MEM (USL),4,,,HFD (USL),0,,,,,,,,
2019-05-29,,LV (USL),3,,,Orange County FC,5,,,,,,,,
2019-05-29,,ATX (USL),4,,,SA (USL),2,,,,,,,,
2019-05-29,,STL (USL),3,,,MAD (USL1),1,,,,,,,,
2019-06-11,,NYRB,2,,,NER,3,,,,,,,,
2019-06-11,,CLB,1,,,PIT (USL),0,,,,,,,,
2019-06-11,,HOU,3,,,ATX (USL),2,,,,,,,,
2019-06-11,,STL (USL),2,,,CHI,1,,,,,,,,
2019-06-11,,SJE,4,,,SAC (USL),3,,,,,,,,
2019-06-11,,RSL,0,,,LAFC,3,,,,,,,,
2019-06-12,,DCU,2,,,PHI,1,,,,,,,,
2019-06-12,,CIN,2,,,LOU (USL),1,,,,,,,,
2019-06-12,,COL,2,,,NM (USL),2,,,,,,,,
2019-06-12,,NYC,4,,,NC (USL1),0,,,,,,,,
2019-06-12,,FCD,4,,,OKC (USL),0,,,,,,,,
2019-06-12,,MIN,4,,,SKC,1,,,,,,,,
2019-06-12,,LAG,3,,,Orange County FC,0,,,,,,,,
2019-06-12,,MEM (USL),1,,,ORL,3,,,,,,,,
2019-06-12,,SEA,1,,,POR,2,,,,,,,,
2019-06-13,,ATL,3,,,CHS (USL),1,,,,,,,,
2019-06-18,,HOU,2,,,MIN,3,,,,,,,,
2019-06-18,,CLB,2,,,ATL,3,,,,,,,,
2019-06-19,,ORL,2,,,NER,1,,,,,,,,
2019-06-19,,DCU,1,,,NYC,2,,,,,,,,
2019-06-19,,FCD,1,,,NM (USL),2,,,,,,,,
2019-06-19,,STL (USL),1,,,CIN,0,,,,,,,,
2019-06-19,,POR,4,,,LAG,0,,,,,,,,
2019-06-20,,LAFC,3,,,SJE,1,,,,,,,,
2019-07-10,,ORL,1,,,NYC,1,,,,,,,,
2019-07-10,,ATL,2,,,STL (USL),0,,,,,,,,
2019-07-10,,MIN,6,,,NM (USL),1,,,,,,,,
2019-07-10,,LAFC,0,,,POR,1,,,,,,,,
2019-08-06,,ORL,0,,,ATL,2,,,,,,,,
2019-08-07,,MIN,2,,,POR,1,,,,,,,,
2019-08-27,,ATL,2,,,MIN,1,,,,,,,,
